Number,Line1,Line2,kural_Translation,Explanation,Explanation_translation,adikaram_name,adikaram_translation
358,பிறப்பென்னும் பேதைமை நீங்கச் சிறப்பென்னும்,செம்பொருள் காண்பது அறிவு.,It is knowledge to know Self-Truth  And remove the folly of birth,பிறவித்துன்பத்திற்கு காரணமான அறியாமை நீங்குமாறு முக்தி எனும் சிறந்த நிலைக்குக் காரணமான செம் பொருளைக் காண்பதே மெய்யுணர்வு.,"True knowledge consists in the removal of ignorance; which is (the cause of) births, and the perception of the True Being who is (the bestower of) heaven",மெய்யுணர்தல்,Truth-Conciousness
359,சார்புணர்ந்து சார்பு கெடஒழுகின் மற்றழித்துச்,சார்தரா சார்தரு நோய்.,"Know the Refuge; off with bondage  Be free from ills of thraldom, O sage","எல்லாப் பொருளுக்கும் சார்பான செம்பொருளை உணர்ந்து பற்றுக் கெடுமாறு ஒழுகினால், சார்வதற்க்கு உரிய துன்பங்கள் திரும்ப வந்து அடையா.","He who so lives as to know Him who is the support of all things and abandon all desire, will be freed from the evils which would otherwise cleave to him and destroy (his efforts after absorption)",மெய்யுணர்தல்,Truth-Conciousness
360,காமம் வெகுளி மயக்கம் இவ்முன்றன்,நாமம் கெடக்கெடும் நோய்.,"Woes expire when lust, wrath, folly  Expire even to name, fully","விருப்பு, வெறுப்பு, அறியாமை ஆகிய இக் குற்றங்கள் மூன்றனுடைய பெயரும் கெடுமாறு ஒழுகினால் துன்பங்கள் வராமற் கெடும்.","If the very names of these three things, desire, anger, and confusion of mind, be destroyed, then will also perish evils (which flow from them)",மெய்யுணர்தல்,Truth-Conciousness
361,அவாஎன்ப எல்லா உயிர்க்கும் எஞ் ஞான்றும்,தவாஅப் பிறப்பீனும் வித்து.,"Desire to all, always is seed  From which ceaseless births proceed",எல்லா உயிர்களுக்கும் எக்காலத்திலும் ஒழியாமல் வருகின்ற பிறவித்துன்பத்தை உண்டாக்கும் வித்து அவா என்றுக் கூறுவர்.,"(The wise) say that the seed, which produces unceasing births, at all times, to all creatures, is desire",அவா அறுத்தல்,Curbing of Desire
362,வேண்டுங்கால் வேண்டும் பிறவாமை மற்றது,வேண்டாமை வேண்ட வரும்.,"If long thou must, long for non-birth  It comes by longing no more for earth","ஒருவன் ஒன்றை விரும்புவதனால் பிறவா நிலைமையை விரும்ப வேண்டும், அது அவா அற்ற நிலையை விரும்பினால் உண்டாகும்.","If anything be desired, freedom from births should be desired; that (freedom from births) will be attained by desiring to be without desire",அவா அறுத்தல்,Curbing of Desire
363,வேண்டாமை அன்ன விழுச்செல்வம் ஈண்டில்லை,ஆண்டும் அஃதொப்பது இல்.,No such wealth is here and there  As peerless wealth of non-desire,"அவா அற்ற நிலைமை போன்ற சிறந்த செல்வம் இவ்வுலகில் இல்லை, வேறு எங்கும் அதற்க்கு நிகரான ஒன்று இல்லை.","There is in this world no excellence equal to freedom from desire; and even in that world, there is nothing like it",அவா அறுத்தல்,Curbing of Desire
364,தூஉய்மை என்பது அவாவின்மை மற்றது,வாஅய்மை வேண்ட வரும்.,To nothing crave is purity  That is the fruit of verity,"தூயநிலை என்றுக் கூறப்படுவது அவா இல்லா திருத்தலே யாகும், அவா அற்ற அத்தன்மை மெய்ப்பொருளை விரும்புவதால் உண்டாகும்.",Purity (of mind) consists in freedom from desire; and that (freedom from desire) is the fruit of the love of truth,அவா அறுத்தல்,Curbing of Desire
365,அற்றவர் என்பார் அவாஅற்றார் மற்றையார்,அற்றாக அற்றது இலர்.,The free are those who desire not  The rest not free in bonds are caught,"பற்றற்றவர் என்றுக் கூறப்படுவோர் அவா அற்றவரே, அவா அறாத மற்றவர் அவ்வளவாகப் பற்று அற்றவர் அல்லர்.","They are said to be free (from future birth) who are freed from desire; all others (who, whatever else they may be free from, are not freed from desire) are not thus free",அவா அறுத்தல்,Curbing of Desire
366,அஞ்சுவ தோரும் அறனே ஒருவனை,வஞ்சிப்ப தோரும் அவா.,Dread desire; Virtue is there  To every soul desire is snare!,"ஒருவன் அவாவிற்கு அஞ்சி வாழ்வதே அறம், ஏன் எனில் ஒருவனைச் சோர்வு கண்டுகொடுத்து வஞ்சிப்பது அவாவே.",It is the chief duty of (an ascetic) to watch against desire with (jealous) fear; for it has power to deceive (and destroy) him,அவா அறுத்தல்,Curbing of Desire
367,அவாவினை ஆற்ற அறுப்பின் தவாவினை,தான்வேண்டு மாற்றான் வரும்.,Destroy desire; deliverance  Comes as much as you aspire hence,"ஒருவன் ஆசையை முழுதும் ஒழித்தால், அவன் கெடாமல் வாழ்வதற்கு உரிய நல்ல செயல் அவன் விரும்புமாறு வாய்க்கும்.","If a man thoroughly cut off all desire, the deeds, which confer immortality, will come to him, in the path in which he seeks them",அவா அறுத்தல்,Curbing of Desire
368,அவாஇல்லார்க் கில்லாகுந் துன்பம் அஃதுண்டேல்,தவாஅது மேன்மேல் வரும்.,Desire extinct no sorrow-taints  Grief comes on grief where it pretends,"அவா இல்லாதவர்க்குத் துன்பம் இல்லையாகும், அவா இருந்தால் எல்லாத் துன்பங்களும் மேலும் மேலும் ஒழியாமல் வரும்.","There is no sorrow to those who are without desire; but where that is, (sorrow) will incessantly come, more and more",அவா அறுத்தல்,Curbing of Desire
369,இன்பம் இடையறா தீண்டும் அவாவென்னும்,துன்பத்துள் துன்பங் கெடின்.,"Desire, the woe of woes destroy  Joy of joys here you enjoy",அவா என்று சொல்லப்படுகின்ற துன்பங்களுள் பொல்லாதத் துன்பம் கெடுமானால் இவ் வுலகில் இன்பம் இடையறாமல் வாய்க்கும்.,"Even while in this body, joy will never depart (from the mind, in which) desire, that sorrow of sorrows, has been destroyed",அவா அறுத்தல்,Curbing of Desire
370,ஆரா இயற்கை அவாநீப்பின் அந்நிலையே,பேரா இயற்கை தரும்.,Off with desire insatiate  You gain the native blissful state,ஒருபோதும் நிரம்பாத தன்மை உடைய அவாவை ஒழித்தால் ஒழித்த அந்நிலையே எப்போதும் மாறாதிருக்கும் இன்ப வாழ்வைத் தரும்.,"The removal of desire, whose nature it is never to be satisfied, will immediately confer a nature that can never be changed",அவா அறுத்தல்,Curbing of Desire
371,ஆகூழால் தோன்றும் அசைவின்மை கைப்பொருள்,போகூழால் தோன்றும் மடி.,Efforts succeed by waxing star  Wealth-losing brings waning star,"கைப்பொருள் ஆவதற்க்கு காரணமான ஊழால் சோர்வில்லாத முயற்சி உண்டாகும், கைப்பொருள் போவதற்க்கு காரணமான ஊழால் சோம்பல் ஏற்படும்.","Perseverance comes from a prosperous fate, and idleness from an adverse fate",ஊழ்,Fate
372,பேதைப் படுக்கும் இழவூழ் அறிவகற்றும்,ஆகலூழ் உற்றக் கடை.,"Loss-fate makes a dull fool of us  Gain-fate makes us prosperous, wise!","பொருள் இழந்தற்கு காரணமான ஊழ், பேதை யாக்கும் பொருள் ஆவதற்க்கு காரணமான ஊழ் அறிவைப் பெருக்கும்.","An adverse fate produces folly, and a prosperous fate produces enlarged knowledge",ஊழ்,Fate
373,நுண்ணிய நூல்பல கற்பினும் மற்றுந்தன்,உண்மை யறிவே மிகும்.,What matters subtle study deep?  Levels of innate wisdom-keep,ஒருவன் நுட்பமான நூல் பலவற்றைக் கற்றாலும் ஊழுக்கு ஏற்றவாறு அவனுக்கு உள்ள தாகும் அறிவே மேம்பட்டுத் தோன்றும்.,"Although (a man) may study the most polished treatises, the knowledge which fate has decreed to him will still prevail",ஊழ்,Fate
374,இருவேறு உலகத்து இயற்கை திருவேறு,தெள்ளிய ராதலும் வேறு.,Two natures in the world obtain  Some wealth and others wisdom gain,"உலகத்தின் இயற்க்கை ஊழின் காரணமாக இரு வேறு வகைப்படும், செல்வம் உடையவராதலும் வேறு அறிவு உடையவராதலும் வேறு.","There are (through fate) two different natures in the world, hence the difference (observable in men) in (their acquisition of) wealth, and in their attainment of knowledge",ஊழ்,Fate
375,நல்லவை எல்லாஅந் தீயவாம் தீயவும்,நல்லவாம் செல்வம் செயற்கு.,In making wealth fate changes mood;  The good as bad and bad as good,"செல்வத்தை ஈட்டும் முயற்சிக்கு ஊழ்வகையால் நல்லவை எல்லாம் தீயவை ஆதலும் உண்டு, தீயவை நல்லவை ஆதலும் உண்டு.","In the acquisition of property, every thing favourable becomes unfavourable, and (on the other hand) everything unfavourable becomes favourable, (through the power of fate)",ஊழ்,Fate
376,பரியினும் ஆகாவாம் பாலல்ல உய்த்துச்,சொரியினும் போகா தம.,Things not thine never remain  Things destined are surely thine,ஊழால் தமக்கு உரியவை அல்லாதப் பொருள்கள் வருந்திக்காப்பாற்றினாலும் நில்லாமல் போகும் தமக்கு உரியவை கொண்டு போய்ச் சொரிந்தாலும் போகா.,"Whatever is not conferred by fate cannot be preserved although it be guarded with most painful care; and that, which fate has made his, cannot be lost, although one should even take it and throw it away",ஊழ்,Fate
377,வகுத்தான் வகுத்த வகையல்லால் கோடி,தொகுத்தார்க்கு துய்த்தல் அரிது.,Who crores amass enjoy but what  The Dispenser's decrees allot,ஊழ் ஏற்ப்படுத்திய வகையால் அல்லாமல் முயன்று கோடிக்கணக்கானப் பொருளைச் சேர்த்தவருக்கும் அவற்றை நுகர முடியாது.,"Even those who gather together millions will only enjoy them, as it has been determined by the disposer (of all things)",ஊழ்,Fate
378,துறப்பார்மன் துப்புர வில்லார் உறற்பால,ஊட்டா கழியு மெனின்.,The destitute desire will quit  If fate with ills visit them not,வரவேண்டிய துன்பங்கள் வந்து வருத்தாமல் நீங்குமானால் நுகரும் பொருள் இல்லாத வறியவர் துறவறம் மேற்க்கொள்வர்.,"The destitute will renounce desire (and become ascetics), if (fate) do not make them suffer the hindrances to which they are liable, and they pass away",ஊழ்,Fate
379,நன்றாங்கால் நல்லவாக் காண்பவர் அன்றாங்கால்,அல்லற் படுவ தெவன்?,Who good in time of good perceive  In evil time why should they grieve?,"நல்வினை விளையும் போது நல்லவை எனக் கருதி மகிழ்கின்றனர், தீவினை விளையும் போது துன்பப்பட்டுக் கலங்குவது ஏனோ.","How is it that those, who are pleased with good fortune, trouble themselves when evil comes, (since both are equally the decree of fate) ?",ஊழ்,Fate
380,ஊழிற் பெருவலி யாவுள மற்றொன்று,சூழினுந் தான்முந் துறும்.,What power surpasses fate? Its will  Persists against the human skill,"ஊழை விட மிக்க வலிமையுள்ளவை வேறு எவை உள்ளன, ஊழை விலக்கும் பொருட்டு மற்றோரு வழியைஆராய்ந்தாலும் அங்கும் தானே முன் வந்து நிற்கும்.","What is stronger than fate ? If we think of an expedient (to avert it), it will itself be with us before (the thought)",ஊழ்,Fate
381,படைகுடி கூழ்அமைச்சு நட்பரண் ஆறும்,உடையான் அரசருள் ஏறு.,"People, troops, wealth, forts, council, friends  Who owns these six is lion of kings",படை குடி கூழ் அமைச்சு நட்பு அரண் என்று கூறப்படும் ஆறு அங்கங்களையும் உடையவனே அரசருள் ஆண் சிங்கம் போனறவன்.,"He who possesses these six things, an army, a people, wealth, ministers, friends and a fortress, is a lion among kings",இறைமாட்சி,The Greatness of a King
382,அஞ்சாமை ஈகை அறிவூக்கம் இந்நான்கும்,எஞ்சாமை வேந்தர்க் கியல்பு.,"Courage, giving, knowledge and zeal  Are four failless features royal","அஞ்சாமை, ஈகை , அறிவுடைமை, ஊக்கமுடைமை இந்த நான்கு பண்புகளும் குறைவு படாமல் இருத்தலே அரசனுக்கு இயல்பாகும்.","Never to fail in these four things, fearlessness, liberality, wisdom, and energy, is the kingly character",இறைமாட்சி,The Greatness of a King
383,தூங்காமை கல்வி துணிவுடைமை இம்மூன்றும்,நீங்கா நிலனான் பவர்க்கு.,"Alertness, learning bravery  Are adjuncts three of monarchy","காலம் தாழ்த்தாத தன்மை, கல்வியுடைமை, துணிவுடைமை இந்த மூன்று பண்புகளும் நிலத்தை ஆளும் அரசனுக்கு நீங்காமல் இருக்க வேண்டியவை.","These three things, viz, vigilance, learning, and bravery, should never be wanting in the ruler of a country",இறைமாட்சி,The Greatness of a King
384,அறனிழுக்கா தல்லவை நீக்கி மறனிழுக்கா,மானம் உடைய தரசு.,A brave noble king refrains from vice  Full of virtue and enterprise,ஆட்சி முறைக்கு உரிய அறத்தில் தவறாமல் அறமல்லாதவற்றை நீக்கி வீரத்தில் குறைபடாத மானத்தை உடையவனே சிறந்த அரசன் ஆவான்.,"He is a king who, with manly modesty, swerves not from virtue, and refrains from vice",இறைமாட்சி,The Greatness of a King
385,இயற்றலும் ஈட்டலுங் காத்தலும் காத்த,வகுத்தலும் வல்ல தரசு.,"The able king gets, stores and guards  And spends them for people's safeguards","பொருள் வரும் வழிகளை மேன்மேலும் இயற்றலும் வந்த பொருள்களைச் சேர்த்தலும், காத்தலும் காத்தவற்றை வகுத்துச் செலவு செய்தலும் வல்லவன் அரசன்.","He is a king who is able to acquire (wealth), to lay it up, to guard, and to distribute it",இறைமாட்சி,The Greatness of a King
386,காட்சிக் கெளியன் கடுஞ்சொல்லன் அல்லனேல்,மீக்கூறும் மன்னன் நிலம்,"That land prospers where the king is  Easy to see, not harsh of words",காண்பதற்கு எளியவனாய்க் கடுஞ்சொல் கூறாதவாய் இருந்தால் அந்த மன்னனுடைய ஆட்சிக்கு உட்பட்ட நாட்டை உலகம் புகழும்.,"The whole world will exalt the country of the king who is easy of access, and who is free from harsh language",இறைமாட்சி,The Greatness of a King
387,இன்சொலால் ஈத்தளிக்க வல்லார்க்குத் தன்சொலால்,தான்கண் டனைத்திவ் வுலகு.,The world commends and acts his phrase  Who sweetly speaks and gives with grace,இனியச் சொற்களுடன் தக்கவர்க்குப் பொருளை உதவிக் காக்க வல்ல அரசனுக்கு இவ்வுலகம் தன் புகழோடு தான் கருதியபடி அமைவதாகும்.,"The world will praise and submit itself to the mind of the king who is able to give with affability, and to protect all who come to him",இறைமாட்சி,The Greatness of a King
388,முறைசெய்து காப்பாற்றும் மன்னவன் மக்கட்கு,இறையென்று வைக்கப் படும்.,He is the Lord of men who does  Sound justice and saves his race,"நீதி முறை செய்து குடிமக்களைக் காப்பாற்றும் மன்னவன், மக்களுக்கு தலைவன் என்றுக் கருதித் தனியே மதிக்கப்படுவான்.","That king, will be esteemed a God among men, who performs his own duties, and protects (his subjects).",இறைமாட்சி,The Greatness of a King
389,செவிகைப்பச் சொற்பொறுக்கும் பண்புடை வேந்தன்,கவிகைக்கீழ்த் தங்கும் உலகு.,Under his shelter thrives the world  Who bears remarks bitter and bold,குறைகூறுவோறின் சொற்களைக் செவிகைக்கும் நிலையிலும் பொறுக்கின்ற பண்பும் உடைய அரசனது குடைநிழலில் உலகம் தங்கும்.,"The whole world will dwell under the umbrella of the king, who can bear words that embitter the ear",இறைமாட்சி,The Greatness of a King
390,கொடையளி செங்கோல் குடியோம்பல் நான்கும்,உடையானாம் வேந்தர்க் கொளி.,"He is the Light of Kings who has  Bounty, justice, care and grace","கொடை, அருள், செங்கோல்முறை, தளர்ந்த குடிமக்களைக்காத்தல் ஆகிய நான்கும் உடைய அரசன், அரசர்க்கெல்லாம் விளக்குப் போன்றவன்.","He is the light of kings who has there four things, beneficence, benevolence, rectitude, and care for his people",இறைமாட்சி,The Greatness of a King
391,கற்க கசடறக் கற்பவை கற்றபின்,நிற்க அதற்குத் தக.,"Lore worth learning, learn flawlessly  Live by that learning thoroughly","கல்வி கற்க நல்ல நூல்களைக் குற்றமறக் கற்க வேண்டும், அவ்வாறு கற்ற பிறகு, கற்ற கல்விக்கு தக்கவாறு நெறியில் நிற்க வேண்டும்.","Let a man learn thoroughly whatever he may learn, and let his conduct be worthy of his learning",கல்வி,Learning
392,எண்ணென்ப ஏனை எழுத்தென்ப இவ்விரண் டும்,கண்ணென்ப வாழும் உயிர்க்கு.,"Letter, number, art and science  Of living kind both are the eyes",எண் என்று சொல்லப்படுவன எழுத்து என்று சொல்லப்படுவன ஆகிய இரு வகைக் கலைகளையும் வாழும் மக்களுக்குக் கண்கள் என்று கூறுவர்.,Letters and numbers are the two eyes of man,கல்வி,Learning
393,கண்ணுடையர் என்பவர் கற்றோர் முகத்திரண்டு,புண்ணுடையர் கல்லா தவர்.,The learned alone have eyes on face  The ignorant two sores of disgrace,"கண்ணுடையவர் என்றுக் கூறப்படுபவர் கற்றவரே, கல்லாதவர் முகத்தில் இரண்டுப் புண் உடையவர் ஆவார்.","The learned are said to have eyes, but the unlearned have (merely) two sores in their face",கல்வி,Learning
394,உவப்பத் தலைக்கூடி உள்ளப் பிரிதல்,அனைத்தே புலவர் தொழில்.,To meet with joy and part with thought  Of learned men this is the art,மகிழும் படியாகக் கூடிபழகி (இனி இவரை எப்போது காண்போம் என்று ) வருந்தி நினைக்கும் படியாகப் பிரிதல் புலவரின் தொழிலாகும்.,"It is the part of the learned to give joy to those whom they meet, and on leaving, to make them think (Oh! when shall we meet them again.)",கல்வி,Learning
395,உடையார்முன் இல்லார்போல் ஏக்கற்றுங் கற்றார்,கடையரே கல்லா தவர்.,Like poor before rich they yearn:  For knowledge: the low never learn,"செல்வர் முன் வறியவர் நிற்பது போல் (கற்றவர்முன்) ஏங்கித் தாழ்ந்து நின்றும் கல்விக் கற்றவரே உயர்ந்தவர், கல்லாதவர் இழிந்தவர்.","The unlearned are inferior to the learned, before whom they stand begging, as the destitute before the wealthy",கல்வி,Learning
396,தொட்டனைத் தூறும் மணற்கேணி மாந்தர்க்குக்,கற்றனைத் தூறும் அறிவு.,As deep you dig the sand spring flows  As deep you learn the knowledge grows,"மணலில் உள்ள கேணியில் தோண்டிய அளவிற்க்கு நீர் ஊறும், அதுபோல் மக்களின் கற்றக் கல்வியின் அளவிற்கு அறிவு ஊறும்.","Water will flow from a well in the sand in proportion to the depth to which it is dug, and knowledge will flow from a man in proportion to his learning",கல்வி,Learning
397,யாதானும் நாடாமால் ஊராமால் என்னொருவன்,சாந்துணையுங் கல்லாத வாறு.,All lands and towns are learner's own  Why not till death learning go on!,"கற்றவனுக்கு தன் நாடும் ஊரும் போல வேறு எதுவாயினும் நாடாகும், ஊராகும் ஆகையால் ஒருவன் சாகும் வரையில் கல்லாமல் காலங்கழிப்பது ஏன்.","How is it that any one can remain without learning, even to his death, when (to the learned man) every country is his own (country), and every town his own (town) ?",கல்வி,Learning
398,ஒருமைக்கண் தான் கற்ற கல்வி ஒருவற்கு,எழுமையும் ஏமாப் புடைத்து.,The joy of learning in one birth  Exalts man upto his seventh,ஒரு பிறப்பில் தான் கற்றக் கல்வியானது அப்பிறப்பிற்கு மட்டும் அல்லாமல் அவனுக்கு ஏழுபிறப்பிறப்பிலும் உதவும் தன்மை உடையது.,"The learning, which a man has acquired in one birth, will yield him pleasure during seven births",கல்வி,Learning
399,தாமின் புறுவது உலகின் புறக் கண்டு,காமுறுவர் கற்றறிந் தார்.,The learned foster learning more  On seeing the world enjoy their lore,"தாம் இன்புறுவதற்குக் காரணமான கல்வியால் உலகமும் இன்புறுவதைக் கண்டு, கற்றறிந்த அறிஞர் மேன்மேலும் (அக் கல்வியையே) விரும்புவர்.","The learned will long (for more learning), when they see that while it gives pleasure to themselves, the world also derives pleasure from it",கல்வி,Learning
400,கேடில் விழுச்செல்வம் கல்வி யொருவற்கு,மாடல்ல மற்றை யவை.,Learning is wealth none could destroy  Nothing else gives genuine joy,"ஒருவனுக்கு அழிவு இல்லாத சிறந்த செல்வம் கல்வியே ஆகும், கல்வியைத் தவிர மற்றப் பொருள்கள் (அத்தகைய சிறப்புடைய) செல்வம் அல்ல.",Learning is the true imperishable riches; all other things are not riches,கல்வி,Learning
401,அரங்கின்றி வட்டாடி யற்றே நிரம்பிய,நூலின்றிக் கோட்டி கொளல்.,Like play of chess on squareless board  Vain is imperfect loreless word,"அறிவு நிரம்புவதற்குக் காரணமானக் நூல்களைக் கற்காமல் கற்றவரிடம் சென்று பேசதல், சூதாடும் அரங்கு இழைக்காமல் வட்டுக்காயை உருட்டிஆடினார் போன்றது.","To speak in an assembly (of the learned) without fullness of knowledge, is like playing at chess (on a board) without squares",கல்லாமை,Ignorance
402,கல்லாதான் சொற்கா முறுதல் முலையிரண்டும்,இல்லாதாள் பெண்காமுற் றற்று.,Unlearned man aspiring speech  Is breastless lady's love-approach,"(கற்றவரின் அவையில்) கல்லாதவன் ஒன்றைச் சொல்ல விரும்புதல், முலை இரண்டும் இல்லாதவள் பெண் தன்மையை விரும்பினாற் போன்றது.","The desire of the unlearned to speak (in an assembly), is like a woman without breasts desiring (the enjoyment of ) woman-hood",கல்லாமை,Ignorance
403,கல்லா தவரும் நனிநல்லர் கற்றார்முன்,சொல்லா திருக்கப் பெறின்.,"Ev'n unread men are good and wise  If before the wise, they hold their peace",கற்றவரின் முன்னிலையில் ஒன்றையும் சொல்லாமல் அமைதியாக இருக்கப் பெற்றால் கல்லாதவர்களும் மிகவும் நல்லவரே ஆவார்.,"The unlearned also are very excellent men, if they know how to keep silence before the learned",கல்லாமை,Ignorance
404,கல்லாதான் ஒட்பம் கழியநன் றாயினும்,கொள்ளார் அறிவுடை யார்.,The unread's wit though excellent  Is not valued by the savant,கல்லாதவனுடைய அறிவுடைய ஒருக்கால் மிக நன்றாக இருந்தாலும் அறிவுடையோர் அதனை அறிவின் பகுதியாக ஏற்றுக்கொள்ள மாட்டார்.,"Although the natural knowledge of an unlearned man may be very good, the wise will not accept for true knowledge",கல்லாமை,Ignorance
405,கல்லா ஒருவன் தகைமை தலைப்பெய்து,சொல்லாடச் சோர்வு படும்.,A man untaught when speech he vaunts  Sadly fails before savants,கல்லாதவன் ஒருவன் தன்னைத்தான் மகிழ்ந்து பேசும் மதிப்பு ( கற்றவரிடம்) கூடிபேசும் போது அப்பேசினால் கெடும்.,"The self-conceit of an unlearned man will fade away, as soon as he speaks in an assembly (of",கல்லாமை,Ignorance
406,உளரென்னும் மாத்திரையர் அல்லால் பயவாக்,களரனையர் கல்லா தவர்.,"People speak of untaught minds  \""They just exist like barren lands\""",கல்லாதவர் உயிரோடிருக்கின்றனர் என்று சொல்லப்படும் அளவினரே அல்லாமல் ஒன்றும் விளையாத களர் நிலத்திற்கு ஒப்பாவர்.,"The unlearned are like worthless barren land: all that can be said of them is, that they exist",கல்லாமை,Ignorance
407,நுண்மாண் நுழைபுலம் இல்லான் எழில்நலம்,மண்மாண் புனைபாவை யற்று.,Like painted clay-doll is his show  Grand subtle lore who fails to know,நுட்பமானதாய் மாட்சியுடையதாய் ஆராய வல்லவான அறிவு இல்லாதவனுடைய எழுச்சியான அழகு மண்ணால் சிறப்பாகப் புனையப்பட்ட பாவை போன்றது.,"The beauty and goodness of one who is destitute of knowledge by the study of great and exquisite works, is like (the beauty and goodness) of a painted earthen doll",கல்லாமை,Ignorance
408,நல்லார்கண் பட்ட வறுமையின் இன்னாதே,கல்லார்கண் பட் ட திரு.,Wealth in the hand of fools is worse  Than a learned man's empty purse,"கல்லாதவனிடம் சேர்ந்துள்ள செல்வமானது, கற்றறிந்த நல்லவரிடம் உள்ள வறுமையைவிட மிகத்துன்பம் செய்வதாகும்.","Wealth, gained by the unlearned, will give more sorrow than the poverty which may come upon the learned",கல்லாமை,Ignorance
409,மேற்பிறந்தா ராயினும் கல்லாதார் கீழ்ப்பிறந்தும்,கற்றார் அனைத்திலர் பாடு.,Lower are fools of higher birth  Than low-born men of learning's worth,கல்லாதவர் உயர்ந்த குடியில் பிறந்தவராக இருப்பினும் தாழ்ந்த குடியில் பிறந்திருந்தும் கல்விக் கற்றவரைப் போன்ற பெருமை இல்லாதவரே.,"The unlearned, though born in a high caste, are not equal in dignity to the learned; though they may have been born in a low caste",கல்லாமை,Ignorance
410,விலங்கொடு மக்கள் அனையர் இலங்குநூல்,கற்றாரோடு ஏனை யவர்.,"Like beasts before men, dunces are  Before scholars of shining lore","அறிவு விளங்குதற்குக் காரணமான நூல்களைக் கற்றவரோடுக் கல்லாதவர், மக்களோடு விலங்குகளுக்கு உள்ள அவ்வளவு வேற்றுமை உடையவர்.","As beasts by the side of men, so are other men by the side of those who are learned in celebrated works",கல்லாமை,Ignorance
411,செல்வத்துட் செல்வஞ் செவிச்செல்வம் அச்செல்வம்,செல்வத்து ளெல்லாந் தலை.,Wealth of wealths is listening's wealth  It is the best of wealths on earth,"செவியால் கேட்டறியும் செல்வம், செல்வங்களுள் ஒன்றாகப் போற்றப்படும் செல்வமாகும், அச் செல்வம் செல்வங்கள் எல்லாவற்றிலும் தலையானதாகும்.",Wealth (gained) by the ear is wealth of wealth; that wealth is the chief of all wealth,கேள்வி,Hearing
412,செவுக்குண வில்லாத போழ்து சிறிது,வயிற்றுக்கும் ஈயப் படும்.,Some food for the stomach is brought  When the ear gets no food for thought,செவிக்கு கேள்வியாகிய உணவு இல்லாத போது (அதற்க்கு துணையாக உடலை ஒப்புமாறு) வயிற்றுக்கும் சிறிது உணவு தரப்படும்.,"When there is no food for the ear, give a little also to the stomach",கேள்வி,Hearing
413,செவியுணவிற் கேள்வி யுடையார் அவியுணவின்,ஆன்றாரோ டொப்பர் நிலத்து.,Whose ears get lots of wisdom-food  Equal gods on oblations fed,செவியுணவாகிய கேள்வி உடையவர் நிலத்தில் வாழ்கின்றவரே ஆயினும் அவி உணவைக் கொள்ளும் தேவரோடு ஒப்பாவார்.,"Those who in this world enjoy instruction which is the food of the ear, are equal to the Gods, who enjoy the food of the sacrifices",கேள்வி,Hearing
414,கற்றில னாயினுங் கேட்க அஃதொருவற்கு,ஒற்கத்தின் ஊற்றாந் துணை.,"Though not learned, hear and heed  That serves a staff and stay in need","நூல்களைக் கற்றவில்லையாயினும், கற்றறிந்தவர்களிடம் கேட்டறிய வேண்டும், அது ஒருவனுக்கு வாழ்க்கையில் தளர்ச்சி வந்த போது ஊன்றுகோல் போல் துணையாகும்.","Although a man be without learning, let him listen (to the teaching of the learned); that will be to him a staff in adversity",கேள்வி,Hearing
415,இழுக்கல் உடையுழி ஊற்றுக்கோல் அற்றே,ஒழுக்க முடையார்வாய்ச் சொல்.,Virtuous men's wisdom is found  A strong staff on slippery ground,"ஒழுக்கமுடைய சான்றோரின் வாய்ச் சொற்கள், வழுக்கல் உடைய சேற்று நிலத்தில் ஊன்றுகோல் போல் வாழ்க்கையில் உதவும்.",The words of the good are like a staff in a slippery place,கேள்வி,Hearing
416,எனைத்தானும் நல்லவை கேட்க அனைத்தானும்,ஆன்ற பெருமை தரும்.,Lend ear to good words however few  That much will highly exalt you,"எவ்வளவு சிறிதே ஆயினும் நல்லவற்றைக் கேட்டறிய வேண்டும், கேட்ட அந்த அளவிற்கு அவை நிறைந்த பெருமையைத் தரும்.","Let a man listen, never so little, to good (instruction), even that will bring him great dignity",கேள்வி,Hearing
417,பிழைத் துணர்ந்தும் பேதைமை சொல்லா ரிழைத்துணர்ந்,தீண்டிய கேள்வி யவர்.,Who listen well and learn sharply  Not ev'n by slip speak foolishly,"நுட்பமாக உணர்ந்து நிறைந்த கேள்வியறிவை உடையவர், ( ஒரு கால் பொருள்களைத்) தவறாக உணர்ந்திருந்தாலும் பேதைமையானவற்றைச் சொல்லார்.","Not even when they have imperfectly understood (a matter), will those men speak foolishly, who have profoundly studied and diligently listened (to instruction)",கேள்வி,Hearing
418,கேட்பினுங் கேளாத் தகையவே கேள்வியால்,தோட்கப் படாத செவி.,That ear though hearing is dulled  Which is not by wisdom drilled,"கேள்வியறிவால் துளைக்கப் படாத செவிகள், ( இயற்கையான துளைகள் கொண்டு ஓசையைக்) கேட்டறிந்தாலும் கேளாத செவிட்டுத் தன்மை உடையனவே.","The ear which has not been bored by instruction, although it hears, is deaf",கேள்வி,Hearing
